,id,summary,risk
878,51439,19.44.14 CP3D S0189611  DNFF4095I 2018-12-08 11:44:14 BOCOUA DNF_FSM LT 'BKCHAU2SA': RP user synchronization will start in '120' seconds.,54.88378137
1175,51736,01.31.34 CP1E S0129913  BQBGTOPICS0 SEV=CRI ALL SubscriptionName: BANCS.GLMS.SYSMODE.SUB (Subs NAMECnt < 4),54.16553795
879,51440,19.44.12 CP3D S0189611  DNFF4068I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': 'Life Signal' timeout detected by 'FSM SLS'.,53.46585045
1400,51961,"03.33.09 S0092559  BCTAKLIFES1 SEV=CRI CIP1KT11 TSBS(  579) LifeTime: 21245 (ElapsedTime > 18000)        ,CICS交易响应时间>3分钟",52.78400896
1915,52476,04.42.36 J0048726 *IEF099I JOB G01S255B WAITING FOR DATA SETS Volume FJ9906 (/tapelibPRODHSH/DD1_POOL02_FS1/FJ9906) already scratched,52.11933931
880,51441,"19.44.12 CP3C S0189605  DNFF4079I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",51.47120087
1333,51894,带库相关问题，请通知系统管理一和生产运行值班人员 02.19.17 CP1E S0093084 *3092 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,50.8389845
1334,51895,带库相关问题，请通知系统管理一和生产运行值班人员 02.19.17 CP1E S0093084 *3092 IEF238D SA390IPL - REPLY DEVICE NAME OR |  'CANCEL'.,50.8389845
1500,52061,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'.,49.62002736
1347,51908,02.15.03 CP1E S0093003  BQBSTOPICS0 SEV=CRI ALL Topic String: BANCS/SYSMODE (Topic StringCnt < 4),49.03220915
2568,53129,07.38.14 S0093383  BSOPSSIZES0 SEV=WAR CP1A Data Set: SYSBAK.P1.REXX.DB2.RPT.TEMP1 SIZE=62520 (TracksAllocated > 55000),48.45815494
1346,51907,02.15.04 CP1E S0093003  BQBDTOPICS0 SEV=CRI ALL Subs Name: BANCS/DNF Subs Cnt: 6 (Subs NAMECnt < 8),47.89738688
1018,51579,带库相关问题，请通知系统管理一和生产运行值班人员 01.47.50 CP1C S0092689 *3060 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,47.349449
1534,52095,带库相关问题，请通知系统管理一和生产运行值班人员 03.15.29 S0093608 *3123 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. percentage is now 50.,46.81390596
146,50707,22.40.36 CP1C S0126467  DSNR035I  -DP11 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = EH460007 -           CONNECTION ID  = BATCH -           PLAN NAME = DBCI1600 -           AUTHID = TWSP -,46.29034188
1306,51867,"02.45.34 CP1C S0092559  BCTAKLIFES1 SEV=CRI CIP1KT11 TSBS(  368) LifeTime: 23900 (ElapsedTime > 18000)        ,CICS交易响应时间>3分钟",45.7783593
118,50679,10.34.32 CP1A S0129909  BZZFSUSGES0 SEV=WAR CP1E ZFS Name: OMVS.SWIFTIOS.ZFS USEAGE: 80.03,45.27757814
902,51463,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,44.78763476
903,51464,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR |  'CANCEL'.,44.78763476
298,50859,12.55.37 CP1D S0199516  DNFO1033E 2018-12-02 04:55:37 BOCOU01 DNF_O_FT 31323031383132389215973 0348794255405664443969726.562  SAG returned error information with - the following parameters: -  Code    : 'Sw.Wfa.SnlServerAppFailure,43.83888389
116,50677,07.08.12 CP1E S0049990  DNFO1005E 2018-11-29 23:08:12 BOCOU01 DNF_O_FT 31323031383131398897035 0692397914826869964599609.375  SAG reported an error with the - following parameters: -  Severity    : 'Transient' -  Code        : 'Sw,43.37942375
882,51443,"19.41.28 CP3D S0189611  DNFF4141I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'.",42.92949461
2635,53196,07.38.16 S0093383  BSOPSSIZES0 SEV=WAR CP1A Data Set: SYSBAK.P1.REXX.DB2.RPT.TEMP1 SIZE=62655 (TracksAllocated > 55000),42.48880293
560,51121,06.55.29 CP3C S0050593  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CP3CA),42.05706714
1545,52106,03.14.34 S0093003  BQCARQDEPS0 SEV=CRI MQ2A NamedQueue: PRM.CRE.PIPINQ CURRENT DEPTH: 7217 (CurrentDepth >= 5000) CURRENT DEPTH: 7217 (CurrentDepth >= 5000),41.63401697
1345,51906,02.15.06 CP1E S0093003  BQBGTOPICS0 SEV=CRI ALL SubscriptionName: BANCS.GLMS.SYSMODE.SUB (Subs NAMECnt < 4),41.21939293
568,51129,07.50.44 CP3D S0050594  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CP3DA),40.81294576
540,51101,05.59.14 CPKC STC07526  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CPKCA),40.41443593
2897,53458,"21.14.13 J0192620  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 333 86.4% INUSE SYSJOB ""DP01_CAP3_TO_QMDD_HY1""). The handling of rows that are added or - changed depends on the type of DB2 utility that performed the - data changes and whether the Q subsc",40.02363319
1401,51962,"03.33.02 S0093304  GEO551I HYPERSWAP DISABLED BY USER IBMSE11 AT 20181209 00:30:27, HyperSwap is disabled (CP1BA)",39.64031609
509,51070,04.59.14 CPKC STC07526  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKD ) (CPKCA),39.2642716
2415,52976,07.34.56 S0093003  BQBANCBGLS0 SEV=WAR QP41 NamedQueue: BANCS.BGLHASHB.QUEUE CURRENT DEPTH:51335 (CurrentDepth >= 20000) BANCS.BGLHASHB.QUEUE CURRENT DEPTH:51335 (CurrentDepth >= 20000)        请关注BGL队列深度变化，加强监控,38.89529469
561,51122,06.52.59 CP1B S0195832  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1BA),38.53318798
1990,52551,"19.32.38 S0093532  +EYUPN0005W CIP1MM41 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT42, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 19:32:38.",38.17776134
881,51442,"19.44.12 CP3D S0189611  DNFF4141I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'.",37.82883162
1402,51963,03.31.19 S0092182  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1AA),37.4862223
300,50861,13.58.22 CP1E S0129913  BQCARQDEPS0 SEV=CRI MQ1A NamedQueue: QM_DISPLAY CURRENT DEPTH: 10145 (CurrentDepth >= 5000),37.14976318
341,50902,07.33.33 CP1E S0129913  BQBANCBGLS0 SEV=WAR QP11 NamedQueue: BANCS.BGLHASHB.QUEUE CURRENT DEPTH:37234 (CurrentDepth >= 20000)         请关注BGL队列深度变化，加强监控,36.81929014
2032,52593,19.35.21 CP3B S0050584  GEO114W SOME LINKS NOT ACTIVE [CP3BA],36.49464484
543,51104,05.58.14 CP1A S0195831  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1AA),36.17567446
2470,53031,07.31.36 S0093003  BQBANCBGLS0 SEV=WAR QP31 NamedQueue: BANCS.BGLHASHB.QUEUE CURRENT DEPTH:22347 (CurrentDepth >= 20000)         请关注BGL队列深度变化，加强监控,35.8622315
2842,53403,21.13.55 J0102699  _DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 398 85.7% INUSE SYSJOB changed depends on the type of DB2 utility that performed the - data changes and whether the Q subscription specifies that load - operations at the source table should,35.55417351
567,51128,07.51.58 CP1F S0195834  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1FA) HAS BEEN COMPLETED,35.25136291
2826,53387,03.51.22 S0093536 *DSNB325A  -DP41 DSNB1CNE THERE IS A CRITICAL SHORTAGE,34.95366676
