,0,summary
50706,7.574843905,22.42.32 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 83.20 (Enabled%Full >= 80)
50707,46.29034188,22.40.36 CP1C S0126467  DSNR035I  -DP11 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = EH460007 -           CONNECTION ID  = BATCH -           PLAN NAME = DBCI1600 -           AUTHID = TWSP -
50708,113.665386,22.01.26 CP3B S0006883  DSNT500I  -DP2Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00000302 -            NAME DSNDB01 .SYSUTILX.X'000010'
50709,7.832874949,23.41.59 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 83.20 (Enabled%Full >= 80)
50710,7.547219354,00.54.43 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 83.80 (Enabled%Full >= 80)
50711,19.39423814,00.44.43 CP1D S0129625  DSNR035I  -DP61 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS160028 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP61APPL.D54F4A7C0CFD = 127442 -
50712,4.005171597,| 00.34.40 CP1D J0128828 *IEF099I JOB SA040000 WAITING FOR DATA SETS
50713,4.005171597,*00.34.40 CP1D J0128828 *IEF099I JOB SA040000 WAITING FOR DATA SETS
50714,3.940351513,00.27.05 CP1C J0128649 *IEF099I JOB G01S023B WAITING FOR DATA SETS
50715,8.337800372,"01.59.26 CP2C           IOS080I 25CC,45,C4041337, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2041.A3307"
50716,8.526743878,"01.54.11 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 83.90 (Enabled%Full >= 80) CP1HS1, - BOCHSM.CP1C.HSMPDOX"
50717,3.51831953,01.42.37 CP1C J0133864 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS
50718,3.799290609,01.26.31 CP2A J0066762 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS
50719,11.45224354,"01.18.46 CP1C S0177136  DSNB356I  -DP1C DSNB5SCO FOR GROUP BUFFER POOL GBP2, THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL   = 00D54F526FF573000000 01:09:55 DEC  1, 2018"
50720,2.803414408,01.05.02 CP3B J0069922 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
50721,3.563759655,01.05.01 CP1D J0133370 *IEF099I JOB SMFMRGDB WAITING FOR DATA SETS
50722,2.855637027,01.05.04 CP1E J0133371 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
50723,17.80874552,01.01.42 CP1E S0129632  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP71APPL.D54F436D8940 = 114343 -
50724,7.968596913,02.53.38 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 83.90 (Enabled%Full >= 80)
50725,3.591591528,02.37.24 CP1E J0143072 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
