id,summary
200,01.11.08 CP1D S0137389 *DSNB325A  -DP21 DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP4
201,01.59.45 CP1E J0005377 *IEF099I JOB P1CICSDL WAITING FOR DATA SETS
202,"02.02.12 CP2B           IOS080I 3B9E,**,RI41MIED, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBSR.LVEQ.RP.RPINVEC.RI41B03D"
203,"02.06.59 CP2C           IOS080I 3BA5,87,C4041332, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD4041.T3302"
204,01.20.37 CP1F J0004962 *IEF099I JOB G01S506B WAITING FOR DATA SETS
205,06.01.29 CP1E S0113328  DNFO1033E 2018-02-28 22:01:29 BOCOU01 DNF_O_FT 31323031383032406971267 3917820211499929428100585.937  SAG returned error information with - the following parameters: -  Code    : \Sw.WFE.eRequestTypeInvalid
206,AA  05.05.43 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 713 72.7% INUSE SYSJOB
207,05.05.37 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 673 73.3% INUSE SYSJOB
208,05.05.33 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 213 71.8% INUSE SYSJOB
209,05.05.37 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 668 72.9% INUSE SYSJOB
210,AA  05.05.41 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 698 72.7% INUSE SYSJOB
211,05.05.41 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 703 73.0% INUSE SYSJOB
212,AA  05.05.36 CP1F J0021493  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 658 72.9% INUSE SYSJOB
